country;date;total_vaccinations;people_vaccinated;people_fully_vaccinated;daily_vaccinations;vaccines
Afghanistan;15/11/2021;;;;335820;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;16/11/2021;;;;305290;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;17/11/2021;;;;274760;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;18/11/2021;;;;244230;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;19/11/2021;;;;213690;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;20/11/2021;;;;183160;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;21/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;22/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;23/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;24/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;25/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;26/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;27/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;28/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;29/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;30/11/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;1/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;2/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;3/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;4/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;5/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;6/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;7/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;8/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;9/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;10/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;11/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;12/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;13/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;14/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;15/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;16/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;17/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;18/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;19/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;20/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;21/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;22/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;23/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;24/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;25/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;26/12/2021;;;;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;27/12/2021;46745180;41428570;37532240;152630;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;28/12/2021;;;;155980;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;29/12/2021;;;;159320;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;30/12/2021;;;;162660;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;31/12/2021;;;;166010;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;1/01/2022;;;;169350;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;2/01/2022;;;;172690;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;3/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;4/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;5/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;6/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;7/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;8/01/2022;;;;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;9/01/2022;49033680;43585700;38093530;176040;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;10/01/2022;;;;166420;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;11/01/2022;49251110;43788180;38148370;156800;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;12/01/2022;;;;152870;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;13/01/2022;49548090;44058970;38237860;148930;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;14/01/2022;;;;134580;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Afghanistan;15/01/2022;;;;120230;Johnson&Johnson, Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing
Albania;15/11/2021;;;;76110;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Albania;16/11/2021;20169540;10515400;9305270;76560;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Albania;17/11/2021;20255610;10535530;9336300;76550;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
Albania;18/11/2021;20337660;10556900;9365390;76480;Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V
